Concept	Définition
Bécarre	Ce mot signifie b carré, et se compose à peu près de deux 7 placés, l'un dans la position naturelle et l'autre dans une position inverse. L'un des trois signes accidentels qui se placent, soit à la clef d'un morceau de musique, soit dans le courant d'une section de phrase musicale. Le bécarre détruit l'effet du bémol et du dièse. Le bécarre n'a de valeur que pendant toute la durée de la mesure dans laquelle il est employé. — Ce serait commettre un nonsens musical que de poser des bécarres à la clef de début d'un morceau de musique, puisque le ton d'ut naturel comporte implicitement autant de bécarres que ce même ton a de notes pour former sa gamme. Mais Il arrive souvent que pour passer d'un ton mineur à son majeur synonyme, on arme la clef d'autant de bécarres qu'il y est nécessaire d'avoir de notes remises naturelles ou dans l'état de gamme normale. Autrefois que la figure de dièse (voyez ce mot) était inconnue, on remplaçait ce signe par celui du bécarre, l'antipode du bémol (voyez ce mot), on l'appelait aussi quelquefois b dure Le bécarre participe du dièse et dû bémol tout à la fois ; du dièze, lorsqu'on le place devant une note bémolisée, et du bémol, lorsqu'on le place devant une note dièsée.
Basse continue	Ainsi appelée parce qu'elle dure pendant toute la pièce.
Basse fondamentale	La basse fondamentale est celle qui n'est formée que de sons fondamentaux de l'harmonie, de sorte qu'au-dessous de chaque accord elle fait entendre le vrai son fondamental, qui est le plus grave, l'accord est divisé par tierces.
Basse contrainte	La basse contrainte, dont le sujet ou le chant, est borné à un petit nombre de mesures, recommence sans cesse, tandis que les parties supérieures poursuivent leur chant et leur harmonie en les variant.
A	Cette lettre désigne dans la musique moderne, et notamment dans la musique allemande, le sixième degré de la gamme diatonique et naturelle, ou la dixième corde de la gamme diatonico-chromatique, appelée dans l'ancien solfége a la mi ré, a mi la, ou la. — Dans la musique allemande, A majuscule désigne le la de la première octave, a minuscule indique celui de la seconde octave, a marqué avec un petit trait horizontal, celui de la troisième octave, et a avec deux petits traits horizontaux, celui de la quatrième octave. — A majuscule écrit sur une partition, indique l'alto. — Dans l'ancienne gamme française, qui commence par f, la lettre A était nommée mi, quinte de la, quand on chantait au naturel, et la, quinte de ré, quand on solfiait par bémols. A n'était dans cette gamme que tantôt mi et tantôt la; c'est pourquoi on l'appelait A mi la. Par la même raison, les mêmes dénominations s'appliquaient à toutes les lettres représentant les notes de la gamme, et l'on disait : B la si, G sol ut, D la ré, E si mi, F ut fa, G ré sol. — Ces dénominations ont été réformées depuis que l'invention du si a mis un terme aux difficultés dont était hérissé l'ancien solfége. On dit maintenant : une symphonie en do, une sonate en sol, etc. ; et même, pour faire connaître les tons dans lesquels doivent jouer différents instruments à vent, plusieurs musiciens se servent de simples lettres, comme cors en A, clarinettes en B, trompettes en C. — La lettre A indique également la première note du tétracorde hyperbolien répondant à la sixième corde de la gamme de la. — Placé en tête d'un morceau, A marque la partie de la haute-contre, alto. — Dans les antiphonaires, A désigne les endroits où il faut élever la voix.
Abat-voix	Espèce de construction établie au-dessus de la scène pour rejeter la voix et les sons des instruments vers les auditeurs.
A, b, c, musical	Petite méthode de solmisation ou solfége élémentaire à l'usage des enfants, comprenant un abrégé des principes et une série d'exercices vocaux préparatoires.
Abrégé	Terme de facture d'orgue ; c'est un mécanisme qui, par l'assemblage des rouleaux, transporte aux soupapes des sommiers respectifs le mouvement des touches du clavier.
Abrège pneumatique	Système de mécanisme d'orgue imaginé en 1850, par Moitessier, de Montpellier.
Abréviation	[Il y a] en musique un grand nombre d'abréviations. On les figure avec des barres placées au-dessous d'une ronde, à la queue d'une blanche ou d'une noire, ou seules à chaque temps, ou au milieu de la mesure. Dans le premier cas, la barre signifie que la note ronde, blanche ou noire, doit être divisée en autant de croches que sa valeur en contient, et en doubles et triples croches, si la barre est double ou triple. La barre seule, après un groupe de notes, signifie que l'on doit répéter ce môme groupeautant de fois qu'il y a de barres. — L'abréviation diminue le travail du copiste. Placée avec intelligence dans les parties séparées et les partitions, elle fait connaître d'avance que le trait à redire est exactement le même que celui que l'on vient d'exécuter, et qu'il ne faut, par conséquent, pas changer d'intonation ni de position.
Abub	Instrument de musique en forme de flûtt en usage dans le temple de Salomon; le sanctuaire de ce saint lieu possédait un abub mince, uni. fait de roseau et garni d'or.
Abyssinie (musique de l')	L'antiquité de cette partie de l'Afrique égale presque celle de l'Egypte. Bruce, qui avait entendu deux filles de cette nation chanter alternativement des strophes, en se répondant l'une à l'autre d'une manière très-mélodieuse, s'attendait à trouver la musique portée à un haut point de perfection dans ce royaume; mais il ne tarda point à reconnaître son erreur, Les Abyssins ont six instruments de musique ; le sistre, la lyre, le tambourin, qu'ils assurent avoir reçu de l'Egypte ou de l'Ethiopie, la flûte, les timbales et la trompette qui furent apportés chez eux de la Palestine, par Menelek, fils de la reine de Saba. La flûte, le tambourin, les timbales et la trompette servent à la guerre ; le sistre est consacré au service religieux, et la lyre est réservée pour les fêtes et les réjouissances. La flûte des Abyssins se joue comme notre clarinette. La trompette est faite d'un morceau de roseau de cinq pieds de long, avec une ouverture large d'environ trois centimètres ; à ce long bâton se trouve fixé le cou d'une courge, qui a précisément la forme du pavillon de notre trompette ; cette partie est ornée de petites coquilles blanches, et la totalité de l'instrument est revêtue de parchemin ; cette trompette ne donne qu'une seule note, mi, dont le son est rauque et très-fort. La lyre des Abyssins a cinq, six, et quelquefois sept cordes. La guitare se trouve aussi dans les mains des Mahométants de l'Abyssinie, mais elle leur a été apportée de l'Arabie. Il est à regretter que le voyageur Bruce ne nous ait point initié aux éléments et aux effets de la musique des Abyssins. La description de leurs instruments nous donne à penser qu'elle était un peu barbare, du moins dans les temps reculés.
Académie	Nom générique donné à chacune des cinq classes de Y Institut de France. L'Académie des BeauxArts comprend la peinture, la sculpture, l'architecture, la gravure et la musique. Cette dernière y est représentée par six membres, choisis parmi les plus célèbres compositeurs français . L'Académie des Beaux-Arts est chargée de préparer et de juger les concours annuels pour les grands prix de Rome, de faire des rapports sur les ouvrages présentés à son examen , et de rechercher avec soin tout ce qui peut contribuer au progrès de l'art en France. (Voyez INSTITUT.)
Académie de musique	On donne ce nom à plusieurs sortes d'institutions relatives à la musique. Appartiennent aux plus remarquables académies musicales : La Société philharmonique de Vérone, qui florissait déjà dans le seizième siècle; L'Académie philharmonique de Rome ; L'Académie philharmonique de Bologne, fondée en 1666; Le Conservatoire royal et l'Académie royale de musique de Paris ; L'ancienne Société de musique, fondée à Londres en 1710; L'Académie impériale de Saint-Pétersbourg; L'Académie royale de Stockholm; L'Académie de chant, fondée à Berlin en 1789 ; La Société philharmonique de l'empire d'Autriche, fondée à Vienne en 1812.
A cappella	Ce terme, en usage dans la musique d'église, signifie que les instruments marchent à l'unisson ou à l'octave avec les parties chantantes, comme dans la fugue. Ce qu'on appelle tempo a capella est indiqué par un 2 ou par un C barré. (Voy. Temps.) On dit aussi stile a capella (style de chapelle), et l'on entend par là un style grave, posé, sans instruments, et qui autrefois était souvent appuyé et formé sur le plain-chant. (Voy. Alla Palestrina.)
A capricio	signifie à la volonté de l'exécutant. (Voy. Ad libitum.)
Accélérer	Presser le mouvement, ce qui arrive dans les morceaux passionnés et pleins de vigueur.
Accent	Appliqué à la déclamation, et spécialement au chant et à la musique, ce mot exprime les diverses modifications qu'éprouve le son de voix sous l'impression d'un sentiment, d'une passion quelconque. Voici les nuances le plus en usage de l' accent musical : Piano-pianissimo (PPP), le plus faiblement possible; Pianissimo (PP), très-faiblement ; Piano (P), faiblement ; Mezzo piano (MP), faiblement, d'une manière modérée; Poco forte (poco F), un peu fort; Mezzo forte (MF), modérément fort; Forte (F), fort ; Fortissimo (FF), très-fort ; Forte fortissimo (FFF), le plus fort possible : on dit aussi Tutta forza. Voici les termes qu'on emploie pour indiquer la modification successive des nuances : Crescendo cres. ou cr , en augmentant de force par degré ; Rinforzando rinf. ou rfz , en renfonçant; Decrescendo.... décres , avec une force décroissante ; Diminuendo dimin, ou dim , en diminuant; Calando.... cal , en décroissant ; Mancando mancand , en s'éteignant. Morendo mor , en mourant; Perdendosi perdend , en laissant mourir le son. On emploie encore les mots : Vibrato, qui signifie qu'il faut faire vibrer le son ; Sforzando, qui signifie qu'il faut tout d'un coup donner plus de force ; Legato, qui signifie qu'il faut lier et couler les notes ; Et staccato, qu'il faut les détacher. On emploie d'autres mots encore pour indiquer toutes les nuances de l'accent; ils sont moins importants ; on les trouvera à leur place. L'art d'accentuer convenablement constitue en grande partie le talent du comédien, du chanteur ; c'est par le juste caractère de l'accent que se manifestent l'intelligence et la sensibilité. — Il faut éviter de trop multiplier les accents. A force de prodiguer les effets, on finirait par les éteindre, de même qu'on éblouit les yeux en prodiguant les lumières.
Accents d'église	On appelait ainsi ces formules mélodieuses que dans l'ancienne Église on devait savoir par coeur, selon la ponctuation, à l'époque où l'on chantait les leçons évangéliques ou épistolaires ; ces formules étaient au nombre de sept : 1° l' accent immuable, quand la dernière syllabe d'un mot n'était ni élevée ni abaissée; 2° l'accent moyen, quand on chantait la dernière syllabe d'une tierce plus bas ; 3° l'accent grave, en la chantant d'une quarte plus grave ; 4° l'accent aigu, lorsqu'on chantait quelques syllabes avant la dernière, d'une tierce plus grave, et la dernière sur l'intonation précédente ; 5° l'accent modéré, chantant quelques syllabes avant la dernière, d'une seconde plus aiguë, et la dernière sur l'intonation précédente ; 6° l'accent interrogatif, lorsqu'on chantait la dernière syllabe d'une interrogation d'une seconde plus aiguë ; 7° l'accent final, quand les dernières syllabes descendaient par degrés vers la quarte sur laquelle devait tomber la syllabe finale.
Accentuer	Exprimer dans l'exécution, avec exactitude, les accents musicaux conformes aux indications du compositeur, à l'accent des mots et au bon goût; marquer exactement les accents musicaux, les forte et les 'piano.
