URI	rdf:type	skos:prefLabel	skos:altLabel	skos:hiddenLabel	skos:definition	skos:narrower	skos:broader	skos:scopeNote	skos:changeNote
100003	skos:Concept	Forme							
100001	skos:Concept	Art							
000001	skos:Concept	Accents d'église							
000002	skos:Concept	A cappella							PMB23598
000003	skos:Concept	Abbaye							
000004	skos:Concept	Abonnement de musique							
000005	skos:Concept	Abrégé							
000006	skos:Concept	Absoute					001276		EP346687
000007	skos:Concept	Acciacatura							EP345645
000008	skos:Concept	Académie	Institut						EP345646;PMB1100
000009	skos:Concept	Académie de danse					000008		EP345647
000010	skos:Concept	Académie de musique					000008		EP345648;PMB1101
000011	skos:Concept	Académie de peinture							
000012	skos:Concept	Académie de poésie					000008		EP345649
000013	skos:Concept	Académie provinciale					000008		EP345650
000014	skos:Concept	Académie scientifique					000008		EP345651
000015	skos:Concept	Accent					000048		EP345721
000016	skos:Concept	Accent psalmodique							
000017	skos:Concept	Accentuation			Désigne l'ensemble des règles ou des pratiques qui organisent où et comment les accents apparaissent dans un morceau ou un style musical.				EP345652
000018	skos:Concept	Accident							
000019	skos:Concept	Accompagnateur					001476		EP346426
000020	skos:Concept	Accompagnement							EP345654;PMB1102
000021	skos:Concept	Accompagnement instrumental							EP345661
000022	skos:Concept	Accord					001050		EP346029;PMB1104
000023	skos:Concept	Accord d'instrument							EP345662
000024	skos:Concept	Accordeur							
000025	skos:Concept	Acoustique							EP345663;PMB1106
000026	skos:Concept	Acoustique des cordes					000025		EP345664
000027	skos:Concept	Acoustique d'un lieu					000025		EP345682
000028	skos:Concept	Acte							EP345685
000029	skos:Concept	Acte de décès							
000030	skos:Concept	Acte de l'état civil					000729		EP345986
000031	skos:Concept	Acte de mariage					000030		EP345987
000032	skos:Concept	Acte de naissance							
000033	skos:Concept	Acte de vente							
000034	skos:Concept	Acte notarié					000729		EP345989
000035	skos:Concept	Acteur	comédien##comédienne##tragédien##tragédienne						EP345686;PMB1109
000036	skos:Concept	Action							
000037	skos:Concept	Action dramatique							EP345694
000038	skos:Concept	Activité musicale							EP345703
000039	skos:Concept	Actrice					000035		EP345687;PMB1110
000040	skos:Concept	Adaptation d'oeuvre musicale							EP345704
000041	skos:Concept	Administration d'une institution					002480		EP347008
000042	skos:Concept	Adresse							EP345705
000043	skos:Concept	Adresse d'éditeur					000042		EP345706
000044	skos:Concept	Affections	Affect				000870		EP346082;PMB1111
000045	skos:Concept	Affiche							EP345707
000046	skos:Concept	Agnus Dei							
000047	skos:Concept	Agogique	Dérive du mot grec agoge qui indiquait chez les anciens la forme mélodieuse dans la marche successive des sons. Agogique désigne donc un changement de rythme dans l'interprétation d'un morceau.						EP345708
000048	skos:Concept	Agrément							EP345720;PMB1112
000049	skos:Concept	Air					001544		EP346603;PMB1113
000050	skos:Concept	Air à boire					000049		EP346604;PMB1114
000051	skos:Concept	Air à chanter							
000052	skos:Concept	Air à danser							EP345735;PMB1116
000053	skos:Concept	Air à manger							PMB1117
000054	skos:Concept	Air bachique							
000055	skos:Concept	Air de ballet					000981		EP346517
000056	skos:Concept	Air de comédie					000981		EP346518
000057	skos:Concept	Air de concert							PMB1119
000058	skos:Concept	Air de cour					000049		EP346605;PMB1120
000059	skos:Concept	Air de danse							
000060	skos:Concept	Air de dévotion							
000061	skos:Concept	Air de pantomime							
000062	skos:Concept	Air d'opéra							PMB1118
000063	skos:Concept	Air espagnol					000049		EP346606;PMB1123
000064	skos:Concept	Air instrumental					001533		EP346565;PMB1124
000065	skos:Concept	Air italien					000049		EP346607;PMB1125
000066	skos:Concept	Air napolitain							PMB1126
000067	skos:Concept	Air patriotique							
000068	skos:Concept	Air populaire							PMB23126
000069	skos:Concept	Air sérieux					000049		EP346608;PMB1127
000070	skos:Concept	Air spirituel					000049		EP346609;PMB1128
000071	skos:Concept	Air tendre							
000072	skos:Concept	Air turc							PMB1130
000073	skos:Concept	Air vocal							EP345762
000074	skos:Concept	Allégorie					001830		EP346771
000075	skos:Concept	Allemande					000052		EP345736;PMB1133
000076	skos:Concept	Almanach							EP345763;PMB22894
000077	skos:Concept	Almanach musical							PMB1134
000078	skos:Concept	Almanach royal					000076		EP345764
000079	skos:Concept	Altération							
000080	skos:Concept	Altération accidentelle							
000081	skos:Concept	Altiste			Musicien qui joue de l'alto.				
000082	skos:Concept	Alto (instrument)							PMB1135
000083	skos:Concept	Alto (voix)	Contre				000413		EP346430
000084	skos:Concept	Ambitus							
000085	skos:Concept	Âme (instrument à archet)							
000086	skos:Concept	Amphigouri			Texte ou discours volontairement confus, embrouillé ou abscons, souvent caractérisé par un enchaînement d'idées sans véritable logique apparente, parfois employé à des fins parodiques, satiriques ou simplement décoratives.				
000087	skos:Concept	Amplitude d'un son							
000088	skos:Concept	Ana							
000089	skos:Concept	Anapeste							
000090	skos:Concept	Anche					000890		EP346109
000091	skos:Concept	Anche à pirouette							
000092	skos:Concept	Anche double							
000093	skos:Concept	Anche faible							
000094	skos:Concept	Anche forte							
000095	skos:Concept	Anche libre							
000096	skos:Concept	Anche lippale							
000097	skos:Concept	Anche simple							
000098	skos:Concept	Fête de saint André							
000099	skos:Concept	Angélique							
000100	skos:Concept	Angelus							
000101	skos:Concept	Fête des saints Anges gardiens							
000102	skos:Concept	Anglaise							
000105	skos:Concept	Annonciation							PMB1137
000106	skos:Concept	Anse de cloche							
000107	skos:Concept	Anthem							PMB1138
000108	skos:Concept	Anthologie					001975		EP346819
000109	skos:Concept	Antienne							EP345768;PMB1139
000110	skos:Concept	Antienne à la Vierge Marie	Antienne à Marie					Salve Regina, Alma Redemptoris, Ave Regina, Regina Caeli, Speciosa facta est, Inviolata, Sub tuum.	PMB1140;EP345769
000112	skos:Concept	Antienne au Saint Sacrement							PMB1141
000113	skos:Concept	Antienne de communion							
000114	skos:Concept	Antienne d'offertoire							
000115	skos:Concept	Antiphonaire					001283		EP346361
000116	skos:Concept	Fête de saint Antoine de Padoue							
000117	skos:Concept	Apôtre	Apôtres					Isti sunt qui viventes	PMB1142
000119	skos:Concept	Appogiature	Appoggiature				000048		EP345722
000120	skos:Concept	Apprentissage					000789		EP346045
000121	skos:Concept	Archet					000888		EP346097;PMB1143
000122	skos:Concept	Archetier					000883		EP346089
000123	skos:Concept	Archiluth							
000124	skos:Concept	Architecte							EP345770
000125	skos:Concept	Architecture					000244		EP345801;PMB1144
000126	skos:Concept	Architecture de théâtre					000691		EP345935
000127	skos:Concept	Archives							EP345771;PMB23320
000128	skos:Concept	Argent							
000129	skos:Concept	Argument							
000130	skos:Concept	Aria					000049		EP346610;PMB1145
000131	skos:Concept	Ariette					000049		EP346611;PMB1146
000132	skos:Concept	Ariette instrumentale							PMB1147
000133	skos:Concept	Arithmétique							
000134	skos:Concept	Arlequin							PMB1148
000136	skos:Concept	Armoiries							EP345773;PMB1149
000137	skos:Concept	Armomes							
000138	skos:Concept	Arpège							
000139	skos:Concept	Arpègement					000048		EP345723
000140	skos:Concept	Arpeggione							PMB23293
000141	skos:Concept	Arrangement							EP345774
000142	skos:Concept	Arrangeur					001476		EP346427
000143	skos:Concept	Ars antiqua							PMB1150
000144	skos:Concept	Ars nova							PMB1151
000145	skos:Concept	Art baroque							PMB1152
000146	skos:Concept	Art de cour							PMB23035
000147	skos:Concept	Art de la table							PMB23034
000148	skos:Concept	Art décoratif							PMB1153
000149	skos:Concept	Art du spectacle							PMB1154
000150	skos:Concept	Art du théâtre							PMB1155
000151	skos:Concept	Art équestre							PMB1156
000152	skos:Concept	Art musical							PMB23481
000153	skos:Concept	Art théâtral							PMB1157
000154	skos:Concept	Art vocal							PMB1158
000155	skos:Concept	Article de périodique							PMB1159
000156	skos:Concept	Articulation							EP345776
000158	skos:Concept	Arts graphiques							
000159	skos:Concept	Ascension							PMB1160
000160	skos:Concept	Aspersion							
000161	skos:Concept	Aspiration							
000162	skos:Concept	Association							
000163	skos:Concept	Association de concerts							
000164	skos:Concept	Association de joueurs d'instruments					000165		EP345779
000165	skos:Concept	Association de musiciens							EP345778
000166	skos:Concept	Assomption							PMB1161
000167	skos:Concept	Atelier							EP488885
000168	skos:Concept	Atelier de copistes					000167		EP345781
000169	skos:Concept	Atelier de facteurs							
000170	skos:Concept	Atelier de luthiers							
000171	skos:Concept	Atelier d'imprimeurs					000167		EP345782
000172	skos:Concept	Atlas							PMB23430
000173	skos:Concept	Au sérieux							
000174	skos:Concept	Aubade							
000176	skos:Concept	Auteur							EP345783
000177	skos:Concept	Autobiographie							EP345786
000178	skos:Concept	Autographe							PMB23358
000179	skos:Concept	Automate							PMB23354
000180	skos:Concept	Automne musical							PMB24542
000181	skos:Concept	Avant-propos							
000182	skos:Concept	Ave Maria							
000183	skos:Concept	Avent							PMB1163
000184	skos:Concept	Avent, dimanche i							
000185	skos:Concept	Avent, dimanche ii							
000186	skos:Concept	Avent, dimanche iii							
000187	skos:Concept	Avent, dimanche iv							
000188	skos:Concept	Avertissement							
000189	skos:Concept	Babiole							PMB1164
000190	skos:Concept	Bacchanales							PMB1165
000191	skos:Concept	Bal							EP345789;PMB1166
000192	skos:Concept	Bal masqué					000191		EP345790
000193	skos:Concept	Baladin							
000194	skos:Concept	Balancement							
000195	skos:Concept	Ballade							PMB1167
000196	skos:Concept	Ballade poétique							
000197	skos:Concept	Ballet					001615		EP346529;PMB1168
000198	skos:Concept	Ballet à entrées							
000199	skos:Concept	Ballet bouffon							PMB1171
000200	skos:Concept	Ballet comique							PMB1172
000201	skos:Concept	Ballet d'action							PMB24536
000202	skos:Concept	Ballet de collège							
000203	skos:Concept	Ballet de cour					001615		EP346531;PMB1173
000204	skos:Concept	Ballet en musique							PMB23602
000205	skos:Concept	Ballet héroïque							PMB1174
000206	skos:Concept	Ballet tragique							
000207	skos:Concept	Ballet-mascarade							EP345795
000208	skos:Concept	Ballet-opéra							EP345796
000209	skos:Concept	Ballet-pantomime					001627		EP346543;PMB24535
000210	skos:Concept	Banquet							
000211	skos:Concept	Baptême					001275		EP346684
000212	skos:Concept	Fête de sainte Barbe							
000213	skos:Concept	Barcarolle							
000214	skos:Concept	Fête de saint Barnabé							
000215	skos:Concept	Barrage							
000216	skos:Concept	Barre de mesure							
000218	skos:Concept	Baryton (voix)	Basse-taille						
000219	skos:Concept	Baryton (instrument)							EP345797
000220	skos:Concept	Bas-dessus (voix)							
000221	skos:Concept	Basilique							
000222	skos:Concept	Basse chiffrée					000223		EP345656
000223	skos:Concept	Basse continue					000020		EP345655;PMB1176
