URI	rdf:type	skos:prefLabel	skos:altLabel	skos:hiddenLabel	skos:definition	skos:narrower	skos:broader	skos:scopeNote	skos:changeNote
100003	skos:Concept	Forme			Les compositions musicales se distinguent par leurs formes. La symphonie a une forme différente du concerto ; l'air a une toute autre forme que le rondeau, etc.				
100001	skos:Concept	Art			Ensemble et disposition des moyens et des principes pratiques par lesquels l'homme fait un ouvrage, exécute un objet, exprime ses sentiments, sa pensée par voie d'imitation ou de sympathie. Les arts mécaniques ou métiers demandent de préférence des forces physiques, les arts libéraux exigent particulièrement des forces intellectuelles. Autrefois les Grecs placèrent au rang des arts libéraux la poésie, la musique, le dessin, la géométrie, la philosophie ; et comme la nation grecque était divisée en deux classes d'hommes, en hommes libres et en esclaves, il n'était permis qu'au Grec libre d'apprendre et d'exercer les arts libéraux. Les termes arts et sciences ne sont pas du tout synonymes. L'art est la réunion des préceptes dont la connaissance est nécessaire ou simplement utile pour faire une chose, Ainsi, par exemple, on dit : l'art de jouer du violon, de chanter. L'art n'a pas de rapport nécesaire avec l'explication rationnelle ou scientifique des choses dont il s'occupe. La science, au contraire, est précisément la connaissance raisonnée, philosophique ou scientifique, des choses dont l'art s'occupe et des préceptes qu'il donne. Toutefois ces deux mots sont employés souvent l'un pour l'autre, ainsi qu'on le verra à l'article ARTISTE.				
1	skos:Concept	Accents d'église			On appelait ainsi ces formules mélodieuses que dans l'ancienne Église on devait savoir par coeur, selon la ponctuation, à l'époque où l'on chantait les leçons évangéliques ou épistolaires ; ces formules étaient au nombre de sept : 1° l' accent immuable, quand la dernière syllabe d'un mot n'était ni élevée ni abaissée; 2° l'accent moyen, quand on chantait la dernière syllabe d'une tierce plus bas ; 3° l'accent grave, en la chantant d'une quarte plus grave ; 4° l'accent aigu, lorsqu'on chantait quelques syllabes avant la dernière, d'une tierce plus grave, et la dernière sur l'intonation précédente ; 5° l'accent modéré, chantant quelques syllabes avant la dernière, d'une seconde plus aiguë, et la dernière sur l'intonation précédente ; 6° l'accent interrogatif, lorsqu'on chantait la dernière syllabe d'une interrogation d'une seconde plus aiguë ; 7° l'accent final, quand les dernières syllabes descendaient par degrés vers la quarte sur laquelle devait tomber la syllabe finale.				
2	skos:Concept	A cappella			Ce terme, en usage dans la musique d'église, signifie que les instruments marchent à l'unisson ou à l'octave avec les parties chantantes, comme dans la fugue. Ce qu'on appelle tempo a capella est indiqué par un 2 ou par un C barré. (Voy. Temps.) On dit aussi stile a capella (style de chapelle), et l'on entend par là un style grave, posé, sans instruments, et qui autrefois était souvent appuyé et formé sur le plain-chant. (Voy. Alla Palestrina.)				PMB23598
3	skos:Concept	Abbaye							
4	skos:Concept	Abonnement de musique							
5	skos:Concept	Abrégé			Terme de facture d'orgue ; c'est un mécanisme qui, par l'assemblage des rouleaux, transporte aux soupapes des sommiers respectifs le mouvement des touches du clavier.				
6	skos:Concept	Absoute					1276.0		EP346687
7	skos:Concept	Acciacatura			Terme italien de musique, signifiant une espèce d'agrément d'exécution, sur laquelle cependant ou n'est pas généralement d'accord. Selon les uns, elle consiste à frapper rapidement et d'une manière successive toutes les notes d'un accord, pour leur donner une plus grande résonnance; elle se marque en écrivant en petites notes et dans leur ordre successif toutes les notes de l'accord, et ensuite l'accord lui-même, ou en faisant précéder l'accord par une espèce de zig-zag perpendiculaire. Selon d'autres, elle consiste à frapper dans un accord une ou plusieurs notes qui ne lui appartiennent pas ; elle se marque par une petite ligne transversale, traversant l'accord, là où la note étrangère à l'accord doit être frappée. Selon d'autres, enfin, c'est une appogiature, mais que l'on frappe presque simultanément avec la note principale. Pour exprimer cette nuance, quelques compositeurs coupent la petite note par un trait.				EP345645
8	skos:Concept	Académie	Institut		Nom générique donné à chacune des cinq classes de Y Institut de France. L'Académie des BeauxArts comprend la peinture, la sculpture, l'architecture, la gravure et la musique. Cette dernière y est représentée par six membres, choisis parmi les plus célèbres compositeurs français . L'Académie des Beaux-Arts est chargée de préparer et de juger les concours annuels pour les grands prix de Rome, de faire des rapports sur les ouvrages présentés à son examen , et de rechercher avec soin tout ce qui peut contribuer au progrès de l'art en France. (Voyez INSTITUT.)				EP345646;PMB1100
